start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,total_revenue,start_price,end_price,peak_time,start_hour,start_month,start_year,duration_category
2022-06-03 16:40:00,2022-06-03 16:40:00,1,0.5,1016.99,1016.99,1016.99,508.495,1016.99,1016.99,2022-06-03 16:40:00,16,6,2022,<30min
2022-06-03 17:10:00,2022-06-03 17:10:00,1,0.5,1018.85,1018.85,1018.85,509.425,1018.85,1018.85,2022-06-03 17:10:00,17,6,2022,<30min
2022-06-12 19:20:00,2022-06-12 19:25:00,2,1.0,1197.78,1196.37,1197.0749999999998,1197.0749999999998,1197.78,1196.37,2022-06-12 19:20:00,19,6,2022,30min-1h
2022-06-12 22:40:00,2022-06-12 22:45:00,2,1.0,10307.12,7475.75,8891.435000000001,8891.435000000001,10307.12,7475.75,2022-06-12 22:40:00,22,6,2022,30min-1h
2022-06-13 17:50:00,2022-06-13 18:30:00,9,4.5,14570.9,1366.3,10991.904444444444,49463.57,14234.59,1366.3,2022-06-13 18:00:00,17,6,2022,4-8h
2022-06-27 17:00:00,2022-06-27 17:00:00,1,0.5,1001.48,1001.48,1001.48,500.74,1001.48,1001.48,2022-06-27 17:00:00,17,6,2022,<30min
2022-06-27 17:25:00,2022-06-27 17:30:00,2,1.0,14858.93,4074.2,9466.565,9466.565,4074.2,14858.93,2022-06-27 17:30:00,17,6,2022,30min-1h
2022-07-11 17:55:00,2022-07-11 17:55:00,1,0.5,1058.82,1058.82,1058.82,529.41,1058.82,1058.82,2022-07-11 17:55:00,17,7,2022,<30min
2022-07-12 07:00:00,2022-07-12 07:00:00,1,0.5,1076.82,1076.82,1076.82,538.41,1076.82,1076.82,2022-07-12 07:00:00,7,7,2022,<30min
2022-07-12 07:10:00,2022-07-12 07:30:00,5,2.5,1102.49,1016.75,1073.734,2684.335,1016.75,1102.49,2022-07-12 07:30:00,7,7,2022,2-4h
2022-07-12 09:40:00,2022-07-12 09:40:00,1,0.5,1012.08,1012.08,1012.08,506.04,1012.08,1012.08,2022-07-12 09:40:00,9,7,2022,<30min
2022-07-12 16:05:00,2022-07-12 16:05:00,1,0.5,1094.6,1094.6,1094.6,547.3,1094.6,1094.6,2022-07-12 16:05:00,16,7,2022,<30min
2022-07-12 17:00:00,2022-07-12 17:00:00,1,0.5,1202.14,1202.14,1202.14,601.07,1202.14,1202.14,2022-07-12 17:00:00,17,7,2022,<30min
2022-07-12 17:10:00,2022-07-12 18:00:00,11,5.5,4160.59,1118.8,1475.8300000000002,8117.0650000000005,1118.8,1419.71,2022-07-12 17:50:00,17,7,2022,4-8h
2022-07-12 18:20:00,2022-07-12 18:20:00,1,0.5,1132.01,1132.01,1132.01,566.005,1132.01,1132.01,2022-07-12 18:20:00,18,7,2022,<30min
2022-07-14 17:00:00,2022-07-14 17:00:00,1,0.5,1065.27,1065.27,1065.27,532.635,1065.27,1065.27,2022-07-14 17:00:00,17,7,2022,<30min
