start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,total_revenue,start_price,end_price,peak_time,start_hour,start_month,start_year,duration_category
2021-12-13 13:05:00,2021-12-13 13:20:00,4,2.0,10247.41,1747.3,5935.5925,11871.185,10247.41,1747.3,2021-12-13 13:05:00,13,12,2021,1-2h
2021-12-16 10:10:00,2021-12-16 10:15:00,2,1.0,1021.98,1021.98,1021.98,1021.98,1021.98,1021.98,2021-12-16 10:10:00,10,12,2021,30min-1h
2021-12-17 14:20:00,2021-12-17 14:20:00,1,0.5,1022.72,1022.72,1022.72,511.36,1022.72,1022.72,2021-12-17 14:20:00,14,12,2021,<30min
2021-12-17 14:30:00,2021-12-17 14:30:00,1,0.5,1021.98,1021.98,1021.98,510.99,1021.98,1021.98,2021-12-17 14:30:00,14,12,2021,<30min
2021-12-18 00:40:00,2021-12-18 00:55:00,4,2.0,15098.43,4093.33,8383.125,16766.25,4093.33,15098.43,2021-12-18 00:55:00,0,12,2021,1-2h
2021-12-29 12:35:00,2021-12-29 12:40:00,2,1.0,9956.29,1024.08,5490.185,5490.185,1024.08,9956.29,2021-12-29 12:40:00,12,12,2021,30min-1h
2021-12-30 14:35:00,2021-12-30 14:35:00,1,0.5,1021.98,1021.98,1021.98,510.99,1021.98,1021.98,2021-12-30 14:35:00,14,12,2021,<30min
2021-12-30 19:05:00,2021-12-30 19:25:00,5,2.5,13003.2,4093.33,10071.204,25178.01,4093.33,10258.1,2021-12-30 19:10:00,19,12,2021,2-4h
2021-12-30 19:35:00,2021-12-30 19:45:00,3,1.5,10277.67,10000.0,10177.43,15266.145,10000.0,10254.62,2021-12-30 19:40:00,19,12,2021,1-2h
2021-12-31 18:35:00,2021-12-31 18:35:00,1,0.5,1135.5,1135.5,1135.5,567.75,1135.5,1135.5,2021-12-31 18:35:00,18,12,2021,<30min
2021-12-31 18:50:00,2021-12-31 19:05:00,4,2.0,13018.21,1020.0,9330.7075,18661.415,13018.21,1020.0,2021-12-31 18:50:00,18,12,2021,1-2h
2021-12-31 19:20:00,2021-12-31 19:25:00,2,1.0,3434.15,1021.98,2228.065,2228.065,1021.98,3434.15,2021-12-31 19:25:00,19,12,2021,30min-1h
2021-12-31 19:35:00,2021-12-31 19:55:00,5,2.5,4093.33,1020.0,2250.124,5625.3099999999995,4093.33,1021.98,2021-12-31 19:35:00,19,12,2021,2-4h
2022-01-10 12:00:00,2022-01-10 12:30:00,7,3.5,15100.0,9980.0,11311.635714285714,39590.725,10247.41,9980.0,2022-01-10 12:20:00,12,1,2022,2-4h
2022-01-10 12:40:00,2022-01-10 12:40:00,1,0.5,4093.33,4093.33,4093.33,2046.665,4093.33,4093.33,2022-01-10 12:40:00,12,1,2022,<30min
2022-01-10 16:35:00,2022-01-10 16:45:00,3,1.5,10247.41,4000.0,6113.579999999999,9170.369999999999,4093.33,4000.0,2022-01-10 16:40:00,16,1,2022,1-2h
2022-01-11 08:50:00,2022-01-11 08:50:00,1,0.5,1021.98,1021.98,1021.98,510.99,1021.98,1021.98,2022-01-11 08:50:00,8,1,2022,<30min
2022-01-11 09:55:00,2022-01-11 09:55:00,1,0.5,1021.98,1021.98,1021.98,510.99,1021.98,1021.98,2022-01-11 09:55:00,9,1,2022,<30min
