DUID
DG_NSW1
DG_QLD1
DG_SA1
DG_TAS1
DG_VIC1
KERNGSP1
MANNUMB1
MLSP1
MREHA1
MREHA2
MREHA3
PIONEER
PUMP1
PUMP2
RT_NSW1
RT_NSW2
RT_NSW3
RT_NSW4
RT_NSW5
RT_NSW6
RT_QLD1
RT_SA1
RT_SA2
RT_SA3
RT_SA4
RT_SA5
RT_SA6
RT_TAS1
RT_VIC1
RT_VIC10
RT_VIC11
RT_VIC12
RT_VIC2
RT_VIC3
RT_VIC4
RT_VIC5
RT_VIC6
RT_VIC7
RT_VIC8
RT_VIC9
SHOAL1
SHPUMP
SNOWYP
TEMPB1
ULPBESS1
WNSF1
